,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
2,غكورش,صنعت غذايي كورش,2355996,177999279,5331078406050,1000,29950,29950,28950,2895,29950,28950,2895,29950,29950
3,فگستر,گسترش صنايع روي ايرانيان,71826,16224675,156243620250,9172,9630,9630,458,4.99,9630,458,4.99,9630,9630
4,فتوسا,توليد و توسعه سرب روي ايرانيان,52513,2007760,20049491360,9511,9986,9986,475,4.99,9986,475,4.99,9986,9986
5,پالايش,صندوق پالايشي يکم-سهام,38949,40851042,2724894215550,67360,67200,66430,-930,-1.38,66700,-660,-0.98,65630,67800
6,دارا يكم,صندوق واسطه گري مالي يكم-سهام,21390,13981059,1636679256090,116380,116500,116730,350,0.3,117060,680,0.58,114520,119020
7,اپال,فرآوري معدني اپال كاني پارس,20504,9793955,179570350010,18460,18310,18470,10,0.05,18330,-130,-0.7,18290,18600
8,بوعلي,پتروشيمي بوعلي سينا,17769,2178403,96480363900,45330,44550,43800,-1530,-3.38,44290,-1040,-2.29,43530,45360
9,امينح,ح . تامين سرمايه امين,17147,5119736,25721038179,5017,4946,5060,43,0.86,5024,7,0.14,4940,5060
10,ثاميد,توسعه و عمران اميد,15829,86317488,126017269805,1403,1411,1458,55,3.92,1460,57,4.06,1411,1473
11,وكبهمن,مديريت سرمايه گذاري كوثربهمن,15221,2572151,26916760761,10388,10550,10550,162,1.56,10465,77,0.74,10388,10650
12,خودرو,ايران‌ خودرو,14962,329776979,556713464650,1682,1710,1677,-5,-0.3,1688,6,0.36,1650,1730
13,خساپا,سايپا,14828,393221757,603929954356,1544,1559,1530,-14,-0.91,1536,-8,-0.52,1491,1585
14,وسپهر,سرمايه گذاري مالي سپهرصادرات,13838,15029991,136683464477,9094,9095,9094,0,0,9094,0,0,9094,9095
15,شپنا,پالايش نفت اصفهان,13379,76601134,729759659780,9490,9540,9610,120,1.26,9530,40,0.42,9320,9700
16,كارين2,صندوق س نگين سامان-ثابت,12990,129900000,129900000,10023,1,1,-10022,-99.99,1,-10022,-99.99,1,1
17,بركت,گروه دارويي بركت,12191,25811646,599389286990,23240,23520,23290,50,0.22,23220,-20,-0.09,22920,23690
18,فملي,ملي‌ صنايع‌ مس‌ ايران‌,11453,42489200,502547276220,11790,11740,11870,80,0.68,11830,40,0.34,11650,12050
19,ولپارس,ليزينگ پارسيان,11286,6234187,25722255562,3930,4126,4126,196,4.99,4126,196,4.99,4126,4126
20,شستا,سرمايه گذاري تامين اجتماعي,11267,21775912,211690976240,9730,9650,9700,-30,-0.31,9720,-10,-0.1,9600,9890
21,امين,تامين سرمايه امين,11126,4105076,29147962440,7110,7100,7100,-10,-0.14,7100,-10,-0.14,7100,7120
22,فولاد,فولاد مباركه اصفهان,10754,61427501,551146136150,8900,8900,8990,90,1.01,8970,70,0.79,8760,9130
23,آبادا,توليد نيروي برق آبادان,10010,3608441,33851878810,8960,9360,9400,440,4.91,9380,420,4.69,9050,9400
24,سيتا,سرمايه گذاري سيمان تامين,9659,6442688,96644297380,15000,15000,15000,0,0,15000,0,0,15000,15010
25,بپيوند,برق و انرژي پيوندگستر پارس,9316,4215079,42224048273,9705,9789,10079,374,3.85,10017,312,3.21,9706,10185
26,كاما,باما,9114,75094577,639615227050,8930,8490,8490,-440,-4.93,8520,-410,-4.59,8490,8710
27,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,8970,204912129,380523922986,1863,1870,1855,-8,-0.43,1857,-6,-0.32,1811,1917
28,وبملت,بانك ملت,8954,157410257,609760750592,3835,3860,3847,12,0.31,3874,39,1.02,3820,3959
29,بگيلان,توسعه مسير برق گيلان,8764,1370954,24318520172,18079,17910,17506,-573,-3.17,17808,-271,-1.5,17180,18350
30,شتران,پالايش نفت تهران,8121,55962592,415503662710,7410,7310,7500,90,1.21,7420,10,0.13,7270,7590
31,كرمان,س. توسعه و عمران استان كرمان,7004,221093447,202540540443,915,900,917,2,0.22,916,1,0.11,896,933
32,آريا,پليمر آريا ساسول,6920,1927305,148225772066,76462,76800,77299,837,1.09,76908,446,0.58,76400,78480
33,پيزد,مجتمع صنايع لاستيك يزد,6566,803187,41621635873,49882,48679,52376,2494,5,51821,1939,3.89,47502,52376
34,وتجارت,بانك تجارت,6204,105855105,199959746083,1885,1860,1891,6,0.32,1889,4,0.21,1860,1930
35,شبندر,پالايش نفت بندرعباس,5243,12129466,243555584130,19850,19600,20360,510,2.57,20080,230,1.16,19600,20440
36,ذوب,سهامي ذوب آهن  اصفهان,4993,70897163,210862650979,2948,2931,3020,72,2.44,2974,26,0.88,2910,3028
37,فوكا,فولاد كاويان,4816,62804310,693819862376,11357,11017,11061,-296,-2.61,11047,-310,-2.73,11017,11531
38,ساوه,سيمان ساوه,4809,1309206,54216911022,40554,40690,41740,1186,2.92,41412,858,2.12,39530,42150
39,شگويا,پتروشيمي تندگويان,4691,12945712,110324964440,8581,8409,8470,-111,-1.29,8522,-59,-0.69,8401,8689
40,خزاميا,زامياد,4660,84631025,499239380130,6180,6090,5880,-300,-4.85,5900,-280,-4.53,5880,6090
