,day,total_reqs,total_hosts,avg_reqs
0,1,64714,5191,12.46657676748218
1,2,60265,4858,12.40531082750103
2,3,89584,7332,12.21822149481724
3,4,70452,5523,12.756110809342749
4,5,94575,7379,12.81677734110313
5,6,100960,7815,12.91874600127959
6,7,87233,6471,13.480605779632205
7,8,38867,2898,13.411663216011043
8,9,35272,2554,13.810493343774471
9,10,72860,4460,16.336322869955158
10,11,80407,4923,16.332927076985577
11,12,92536,5339,17.332084660048697
12,13,134203,6946,19.320904117477685
13,14,84103,5292,15.892479213907786
14,15,45532,3115,14.617014446227929
15,16,47854,3013,15.882509127115831
16,17,74981,4941,15.175268164339203
17,18,64282,4518,14.227976980965028
18,19,72738,4913,14.80521066558111
19,20,66593,4725,14.093756613756614
20,21,64629,4337,14.901775420797787
21,22,35267,2575,13.695922330097087
22,23,39199,2634,14.881928625664388
23,24,64259,4294,14.964834653004193
24,25,62699,4373,14.337754402012349
25,26,58849,4295,13.70174621653085
26,27,61680,4367,14.124112663155485
27,28,27121,2173,12.48090197883111
