,host,count
0,piweba3y.prodigy.com,17572
1,piweba4y.prodigy.com,11591
2,piweba1y.prodigy.com,9868
3,alyssa.prodigy.com,7852
4,siltb10.orl.mmc.com,7573
5,piweba2y.prodigy.com,5922
6,edams.ksc.nasa.gov,5434
7,news.ti.com,4863
8,,4796
9,disarray.demon.co.uk,4353
10,www-a2.proxy.aol.com,4179
11,www-d1.proxy.aol.com,4158
12,vagrant.vf.mmc.com,4146
13,poppy.hensa.ac.uk,4117
14,www-d4.proxy.aol.com,3977
15,webgate1.mot.com,3843
16,www-b3.proxy.aol.com,3755
17,e659229.boeing.com,3737
18,www-b2.proxy.aol.com,3732
19,www-b4.proxy.aol.com,3679
20,www-b5.proxy.aol.com,3669
21,www-a1.proxy.aol.com,3620
22,www-d3.proxy.aol.com,3599
23,www-d2.proxy.aol.com,3580
24,www-b6.proxy.aol.com,3180
25,bill.ksc.nasa.gov,3116
26,www-c2.proxy.aol.com,3029
27,proxy0.research.att.com,2948
28,www-c5.proxy.aol.com,2676
29,jbiagioni.npt.nuwc.navy.mil,2600
30,indy.gradient.com,2555
31,www-proxy.crl.research.digital.com,2544
32,www-c6.proxy.aol.com,2536
33,www-c4.proxy.aol.com,2427
34,sgigate.sgi.com,2304
35,www-c1.proxy.aol.com,2262
36,www-c3.proxy.aol.com,2256
37,palona1.cns.hp.com,2232
38,gateway.cary.ibm.com,2144
39,www-relay.pa-x.dec.com,2135
40,currypc.fpl.msstate.edu,1970
41,trusty.lmsc.lockheed.com,1876
42,marina.cea.berkeley.edu,1799
43,bocagate.bocaraton.ibm.com,1768
44,ottgate2.bnr.ca,1718
45,gatekeeper.mitre.org,1678
46,cliffy.lfwc.lockheed.com,1631
47,proxy.austin.ibm.com,1610
48,gw1.att.com,1588
49,www-b1.proxy.aol.com,1552
50,advantis.vnet.ibm.com,1510
51,igate.uswest.com,1493
52,ntigate.nt.com,1433
53,interlock.turner.com,1433
54,kscdl1.cad.ksc.nasa.gov,1432
55,ariel.earth.nwu.edu,1408
56,intgate.raleigh.ibm.com,1387
57,sahp315.sandia.gov,1374
58,wwwproxy.sanders.com,1352
59,tiber.gsfc.nasa.gov,1330
60,internet-gw.ford.com,1306
61,twip.prl.philips.nl,1279
62,erigate.ericsson.se,1238
63,gw4.att.com,1195
64,bstfirewall.bst.bls.com,1190
65,arctic.nad.northrop.com,1183
66,inetg1.arco.com,1178
67,rush.internic.net,1119
68,klothos.crl.research.digital.com,1100
69,beta.xerox.com,1089
70,gate.chips.ibm.com,1082
71,spider.tbe.com,1066
72,gatekeeper.es.dupont.com,1062
73,sdn_b6_f02_ip.dny.rockwell.com,1062
74,theopolis.orl.mmc.com,1060
75,gn2.getnet.com,1055
76,usstyx.glaxo.com,1055
77,blazemonger.pc.cc.cmu.edu,1046
78,n1032336.ksc.nasa.gov,1044
79,gw3.att.com,1030
80,gw2.att.com,1018
81,nidhogg.srl.caltech.edu,1013
82,corpgate.nt.com,980
83,gatekeeper.cca.rockwell.com,979
84,quixote.d48.lilly.com,935
85,faure.borland.com,922
86,news.dfrc.nasa.gov,899
87,helios.astro.uva.nl,893
88,pc092040.oulu.fi,857
89,koriel.sun.com,846
90,host62.ascend.interop.eunet.de,832
91,bbuig150.unisys.com,829
92,arcada.arcada.com,802
93,fw1.torolab.ibm.com,796
94,enigma.idirect.com,794
95,freenet.edmonton.ab.ca,782
96,n1122791.ksc.nasa.gov,774
97,heimdallp2.compaq.com,772
98,proxy.kodak.com,766
99,ssbuv.gsfc.nasa.gov,755
100,gwa.ericsson.com,734
101,firewall.dfw.ibm.com,732
102,inet2.tek.com,702
103,atropos.jf.intel.com,690
104,world.std.com,687
105,borsu0.in2p3.fr,683
106,sophocles.algonet.se,682
107,doom.idirect.com,677
108,reo.icf.esygvl.com,676
109,orpheus.amdahl.com,675
110,gate1.btco.com,661
111,aibn32.astro.uni-bonn.de,642
112,pinta.csee.usf.edu,642
113,relay02.jpmorgan.com,640
114,info.gte.com,635
115,walt.cfr.washington.edu,624
116,chaos.idirect.com,623
117,jericho3.microsoft.com,623
118,cbxguy.vip.best.com,621
119,n1144796.ksc.nasa.gov,620
120,gate.ps.cae.ntt.jp,613
121,so.scsnet.com,612
122,stratacom.strata.com,604
123,kscdl2.cad.ksc.nasa.gov,601
124,orange.ge.com,601
125,inet1.nsc.com,599
126,lfsgate.lfs.loral.com,599
127,n1144637.ksc.nasa.gov,599
128,n1122121.ksc.nasa.gov,596
129,malin.space.se,592
130,bettong.client.uq.oz.au,587
131,stortek1.stortek.com,584
132,ftp-relay.mv.us.adobe.com,583
133,pbadri-ss10.cisco.com,583
134,spectrum.xerox.com,582
135,farlink.ll.mit.edu,580
136,grumpy.ksc.nasa.gov,573
137,dani.scp.caltech.edu,562
138,gw1.cat.com,556
139,miranda.psychol.ucl.ac.uk,556
140,gatekeeper.us.oracle.com,556
141,icewall.ceco.com,555
142,proxy05.bell-atl.com,555
143,brother.cc.monash.edu.au,552
144,pcjmk.ag.rl.ac.uk,549
145,wwwproxy.info.au,543
146,anonymous.chevron.com,542
147,gk-west.usps.gov,539
148,hplb.hpl.hp.com,536
149,hitiij.hitachi.co.jp,527
150,ns.scn.de,523
151,bruinen.jus.gov.ar,520
152,oeonline.oeonline.com,514
153,bianca.osc.on.ca,511
154,n1142702.ksc.nasa.gov,507
155,hpcvsop.cv.hp.com,501
156,emngw1.emn.com,501
157,screen.lotus.com,500
158,mersey.hursley.ibm.com,493
159,lamar.d48.lilly.com,490
160,gateway.amoco.com,486
161,goldenrule.jcpenney.com,484
162,n868791.ksc.nasa.gov,483
163,vewer.sso.az.honeywell.com,482
164,reggae.iinet.net.au,480
165,alize.ere.umontreal.ca,479
166,fnugget.intel.com,478
167,nameless.house.gov,476
168,romulus.ultranet.com,473
169,basfegw.basf-corp.com,470
170,amdext.amd.com,470
171,igw.merck.com,469
172,unifex.ksc.nasa.gov,465
173,pcrb.ccrs.emr.ca,461
174,ml42pc7.uta.fi,457
