,day of month,host,numbber of host request
0,1,ppp1.niag.localnet.com,623
1,2,gatekeeper.es.dupont.com,960
2,3,ad11-052.compuserve.com,1067
3,4,xtsd0106.it.wsu.edu,1199
4,5,pc172.pharm.nwu.edu,826
5,6,inamura.isl.melco.co.jp,732
6,7,www-d4.proxy.aol.com,879
7,8,aistgw.aist.go.jp,781
8,9,dffl5-15.gate.net,545
9,10,newbill.phx.primenet.com,358
10,11,dial5.solutions.net,1394
11,12,ix-la17-05.ix.netcom.com,1356
12,13,ip209.sna.primenet.com,1202
13,14,ppp17.itw.com,1029
14,15,h97-138.ccnet.com,974
15,16,ad02-012.compuserve.com,1280
16,17,www-c1.proxy.aol.com,850
17,18,dd11-057.compuserve.com,700
18,19,eul82.metronet.com,847
19,20,aisen.pr.mcs.net,884
20,21,orlfl2-13.gate.net,1354
21,22,supreme.pcug.org.au,700
22,23,miafl2-43.gate.net,709
23,24,pc5.flex.co.jp,399
24,25,sprite169.azstarnet.com,763
25,26,asky.picky.or.jp,312
26,27,dd02-003.compuserve.com,283
27,28,dialup56.azstarnet.com,353
